tid,name,aid,mtid,gid,u_price
2820,Occupation / Precipice,227,3,19,1.99
2821,Exodus Pt. 1,227,3,19,1.99
2822,Exodus Pt. 2,227,3,19,1.99
2823,Collaborators,227,3,19,1.99
2824,Torn,227,3,19,1.99
2837,Crossroads Pt. 1,227,3,20,1.99
2838,Crossroads Pt. 2,227,3,20,1.99
2839,Genesis,228,3,19,1.99
2840,Don't Look Back,228,3,21,1.99
2841,One Giant Leap,228,3,21,1.99
2842,Collision,228,3,21,1.99
2843,Hiros,228,3,21,1.99
2844,Better Halves,228,3,21,1.99
2845,Nothing to Hide,228,3,19,1.99
2846,Seven Minutes to Midnight,228,3,21,1.99
2847,Homecoming,228,3,21,1.99
2848,Six Months Ago,228,3,19,1.99
2849,Fallout,228,3,21,1.99
2850,The Fix,228,3,21,1.99
2851,Distractions,228,3,21,1.99
2852,Run!,228,3,21,1.99
2853,Unexpected,228,3,21,1.99
2854,Company Man,228,3,21,1.99
2855,Company Man,228,3,21,1.99
2856,Parasite,228,3,21,1.99
2857,A Tale of Two Cities,229,3,19,1.99
2858,Lost (Pilot Part 1) [Premiere],230,3,19,1.99
2859,Man of Science Man of Faith (Premiere),231,3,19,1.99
2860,Adrift,231,3,19,1.99
2861,Lost (Pilot Part 2),230,3,19,1.99
2862,The Glass Ballerina,229,3,21,1.99
2863,Further Instructions,229,3,19,1.99
2864,Orientation,231,3,19,1.99
2865,Tabula Rasa,230,3,19,1.99
2866,Every Man for Himself,229,3,21,1.99
2867,Everybody Hates Hugo,231,3,19,1.99
2868,Walkabout,230,3,19,1.99
2869,...And Found,231,3,19,1.99
2870,The Cost of Living,229,3,19,1.99
2871,White Rabbit,230,3,19,1.99
2872,Abandoned,231,3,19,1.99
2873,House of the Rising Sun,230,3,19,1.99
2874,I Do,229,3,19,1.99
2875,Not In Portland,229,3,21,1.99
2876,Not In Portland,229,3,21,1.99
2877,The Moth,230,3,19,1.99
2878,The Other 48 Days,231,3,19,1.99
2879,Collision,231,3,19,1.99
2880,Confidence Man,230,3,19,1.99
2881,Flashes Before Your Eyes,229,3,21,1.99